,drift,atd,abund185.1,abund203.1,abund205.1,abund245.1,abund259.1,abund277.1,abund305.1,abund347.1,abund365.1,abund367.1,abund407.1,abund439.2,abund467.2,abund509.2,abund529.2
113,113,133.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,114,134.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
115,115,134.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,116,134.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,117,134.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,118,135.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,119,135.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,120,135.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,121,135.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,122,136.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,123,136.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,124,136.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,125,136.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,126,137.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,127,137.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,128,137.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,129,137.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,130,138.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,131,138.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,132,138.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,133,138.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,134,139.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,135,139.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,136,139.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,137,139.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,138,140.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,139,140.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,140,140.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,141,140.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,142,141.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,143,141.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,144,141.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,145,141.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,146,142.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,147,142.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,148,142.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,149,142.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,150,143.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,151,143.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,152,143.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,153,143.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,154,144.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,155,144.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,156,144.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,157,145.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,158,145.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,159,145.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,160,145.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,161,146.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,162,146.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,163,146.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,164,146.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,165,147.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,166,147.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,167,147.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,168,147.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,169,148.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
170,170,148.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,171,148.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,172,148.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,173,149.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,174,149.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,175,149.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,176,149.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,177,150.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,178,150.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,179,150.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,180,150.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,181,151.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,182,151.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,183,151.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,184,151.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,185,152.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,186,152.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,187,152.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,188,152.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,189,153.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,190,153.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,191,153.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,192,153.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,193,154.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,194,154.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,195,154.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,196,154.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,197,155.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,198,155.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,199,155.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
